N,q,split,comparator,component,unit,med,p95,mean,bias,qop_max_abs_change,qop_passthrough_max_abs_change
64,19,test,rk6_truth_vs_real_scifi_state,ty,mrad,0.2251230917004049,1.3826840614363687,0.4282033979880854,0.04661076014106669,0.0,0.0
64,20,val,vs_rk6_endpoint,x,um,2317.182605401399,11179.617926060568,3376.411439155547,-743.5801538364472,0.0,0.0
64,20,val,vs_rk6_endpoint,y,um,483.3876076259003,3045.604614030297,922.6238897033801,187.80611047517561,0.0,0.0
64,20,val,vs_rk6_endpoint,tx,mrad,1.2179670688831634,4.927552085038725,1.6617546804784165,-0.10516496615520493,0.0,0.0
64,20,val,vs_rk6_endpoint,ty,mrad,0.16160178620724247,1.0864659778198018,0.30226917324405234,-0.010664156552310958,0.0,0.0
64,20,val,vs_real_scifi_state,x,um,3353.0222005240375,17433.359417675212,5578.301512085448,-791.1222481357506,0.0,0.0
64,20,val,vs_real_scifi_state,y,um,1037.663671907148,6985.951904769309,2325.14691987731,121.39987219293137,0.0,0.0
64,20,val,vs_real_scifi_state,tx,mrad,1.4193145000564733,7.2091893552783795,2.3425395800543334,-0.11608419838346494,0.0,0.0
64,20,val,vs_real_scifi_state,ty,mrad,0.30857459256055514,2.0690776475682036,0.6700980125194986,0.015006722881422104,0.0,0.0
64,20,val,straight_line_vs_rk6_endpoint,x,um,452941.9385569637,1271615.6766418347,550215.9132434177,41618.78322767855,0.0,0.0
64,20,val,straight_line_vs_rk6_endpoint,y,um,939.8698722209815,26843.640905457592,5421.254429651422,-244.2714338410775,0.0,0.0
64,20,val,straight_line_vs_rk6_endpoint,tx,mrad,171.65128524149225,507.04651578564443,212.97744119602592,16.152241795459236,0.0,0.0
64,20,val,straight_line_vs_rk6_endpoint,ty,mrad,0.31992626243849964,14.429391014288012,2.497643817836807,0.038032989776136804,0.0,0.0
64,20,val,rk6_truth_vs_real_scifi_state,x,um,1372.6751053558246,12368.517364561547,3696.747692734388,-47.58627783002851,0.0,0.0
64,20,val,rk6_truth_vs_real_scifi_state,y,um,767.5951085464021,5835.671284375892,1918.4556712124586,-66.28849554554735,0.0,0.0
64,20,val,rk6_truth_vs_real_scifi_state,tx,mrad,0.3944228909283365,4.877535585362279,1.2899261902975303,-0.010919015564202064,0.0,0.0
64,20,val,rk6_truth_vs_real_scifi_state,ty,mrad,0.2241700032497712,1.5462122120480999,0.5447264670301872,0.025675432691703217,0.0,0.0
64,20,test,vs_rk6_endpoint,x,um,2311.780717713532,10513.299095199194,3305.158421301833,-716.4113298327501,0.0,0.0
64,20,test,vs_rk6_endpoint,y,um,461.9653015160452,2710.1113236205733,823.3806351652039,291.28289944753664,0.0,0.0
64,20,test,vs_rk6_endpoint,tx,mrad,1.2607319386477855,4.902400792455207,1.632156012283698,-0.06520199134520141,0.0,0.0
64,20,test,vs_rk6_endpoint,ty,mrad,0.15073508815569536,0.8595055583153914,0.27368654056260927,0.029411427191738712,0.0,0.0
64,20,test,vs_real_scifi_state,x,um,3202.663895243887,16502.761932798792,5115.037864119055,-755.350381197334,0.0,0.0
64,20,test,vs_real_scifi_state,y,um,989.8157161102716,5584.745607955219,1769.313844418869,384.77164834546437,0.0,0.0
64,20,test,vs_real_scifi_state,tx,mrad,1.3959414670249581,6.6770261418131875,2.199891795695715,-0.0739322083986995,0.0,0.0
64,20,test,vs_real_scifi_state,ty,mrad,0.29840751778650604,1.8115756658296367,0.5325011509570681,0.07601270774617155,0.0,0.0
64,20,test,straight_line_vs_rk6_endpoint,x,um,450541.20897316607,1251923.9406943007,531992.5955562802,9884.314569471735,0.0,0.0
64,20,test,straight_line_vs_rk6_endpoint,y,um,893.211049591855,24433.496090929446,4831.48761598312,108.52751943555974,0.0,0.0
64,20,test,straight_line_vs_rk6_endpoint,tx,mrad,171.8266523561743,490.8245439316273,205.66065297521143,3.646110771404555,0.0,0.0
64,20,test,straight_line_vs_rk6_endpoint,ty,mrad,0.3084377832926598,11.172864866383968,2.2205866819141415,-0.061154129595571156,0.0,0.0
64,20,test,rk6_truth_vs_real_scifi_state,x,um,1269.9286840310435,12005.702236552635,3296.906744453611,-39.0585677517167,0.0,0.0
64,20,test,rk6_truth_vs_real_scifi_state,y,um,730.3814137381437,4817.166287647019,1460.9300642137061,93.48799953047588,0.0,0.0
64,20,test,rk6_truth_vs_real_scifi_state,tx,mrad,0.34881072371655,4.643161002162138,1.1860690425234515,-0.00872706446494271,0.0,0.0
64,20,test,rk6_truth_vs_real_scifi_state,ty,mrad,0.2251230917004049,1.3826840614363687,0.4282033979880854,0.04661076014106669,0.0,0.0
128,1,val,vs_rk6_endpoint,x,um,2715.4116863797526,11981.917050382983,3742.4020446081745,-112.98377428518967,0.0,0.0
