network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
w100_physics_s9,physics,9,100,4,True,test,0,4563,276.8967944960461,5168.0610118309605,0.1805394634909474,69.21399999999994
w100_physics_s9,physics,9,100,4,True,test,1,4563,863.7705672402944,11642.797375565215,0.4763019226334958,335.087
w100_physics_s9,physics,9,100,4,True,test,2,4563,1456.1852942822497,24168.558574192564,0.8366741344170703,752.393
w100_physics_s9,physics,9,100,4,True,test,3,4563,2289.5943082768044,32604.925500005105,1.1080984013046025,1994.9869999999999
w100_physics_s9,physics,9,100,4,True,test,4,2914,4524.892741507429,59857.57463118953,1.702910644900817,6269.4015
w100_physics_s9,physics,9,100,4,True,test,5,1481,8392.233598377345,127191.20598935592,2.4412681545209343,7783.540000000001
w100_physics_s9,physics,9,100,4,True,test,6,853,9886.268563673751,104420.41661529361,2.5112383276985337,8330.801
w200_data_s0,data,0,200,4,True,val,0,4551,153.3175476389923,2366.63964644967,0.0819275021540452,55.0
w200_data_s0,data,0,200,4,True,val,1,4551,507.3058639217303,9580.448259716035,0.26075471842071374,373.71799999999996
w200_data_s0,data,0,200,4,True,val,2,4551,927.2911324402457,21925.498772427243,0.41415226816476913,821.8929999999991
w200_data_s0,data,0,200,4,True,val,3,4551,1548.1368093798978,38761.97415060625,0.6610161918971791,2099.987
w200_data_s0,data,0,200,4,True,val,4,2932,3249.2635286272243,88567.37909882181,1.1121014083295204,6281.1775
w200_data_s0,data,0,200,4,True,val,5,1524,6729.07760324199,177223.22722170615,1.82086219079812,7759.312
w200_data_s0,data,0,200,4,True,val,6,856,7407.273701859594,170970.48928432923,1.893081966297755,8181.928
w200_data_s0,data,0,200,4,True,test,0,4563,156.02029632762537,2503.160754805192,0.08163571458857585,69.21399999999994
w200_data_s0,data,0,200,4,True,test,1,4563,510.33688638694844,9842.014346325877,0.24769422569485833,335.087
w200_data_s0,data,0,200,4,True,test,2,4563,893.6366212737994,20817.870764925818,0.3941930654233067,752.393
w200_data_s0,data,0,200,4,True,test,3,4563,1489.6617681605449,37339.635010441736,0.6257020859942175,1994.9869999999999
w200_data_s0,data,0,200,4,True,test,4,2914,3038.5318969611035,77259.42126337177,1.0180008226218438,6269.4015
w200_data_s0,data,0,200,4,True,test,5,1481,6533.391622732395,283938.66805166454,1.8056160202892801,7783.540000000001
w200_data_s0,data,0,200,4,True,test,6,853,7163.007802691254,151140.1023761133,1.8723236963826828,8330.801
