restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
407,17,7,train,1.4424910054997104e-09,1.3476580396723282e-09,0.06574250062275437,267330892.5622382,0,200,213,0,80.21
408,17,8,train,1.3476580396723282e-09,1.2695069685830047e-09,0.057990282986272415,267330892.5622382,0,200,213,0,89.03
409,17,9,train,1.2695069685830047e-09,1.1989572235104286e-09,0.05557255439985665,267330892.5622382,0,200,216,0,81.81
410,17,10,train,1.1989572235104286e-09,1.14080065623182e-09,0.04850595679162925,267330892.5622382,0,200,218,0,82.19
411,17,11,train,1.14080065623182e-09,1.091210195257625e-09,0.043469874165393045,267330892.5622382,0,200,213,0,88.9
412,17,12,train,1.091210195257625e-09,1.0449773904853637e-09,0.04236837684727281,267330892.5622382,0,200,216,0,87.56
413,17,13,train,1.0449773904853637e-09,9.982110696557163e-10,0.04475342840472918,267330892.5622382,0,200,214,0,82.02
414,17,14,train,9.982110696557163e-10,9.62306205627745e-10,0.035969210439987305,267330892.5622382,0,200,214,0,83.8
415,17,15,train,9.62306205627745e-10,9.29095575224038e-10,0.034511499779888224,267330892.5622382,0,200,219,0,84.76
416,17,16,train,9.29095575224038e-10,8.990146172405832e-10,0.03237660234922684,267330892.5622382,0,200,214,0,84.44
417,17,17,train,8.990146172405832e-10,8.717303596290246e-10,0.030349070068854168,267330892.5622382,0,200,214,0,83.95
418,17,18,train,8.717303596290246e-10,8.456428272701315e-10,0.029926148688907615,267330892.5622382,0,200,216,0,83.82
419,17,19,train,8.456428272701315e-10,8.208759285674885e-10,0.02928765893112865,267330892.5622382,0,200,219,0,87.35
420,17,20,train,8.208759285674885e-10,7.987514952397123e-10,0.026952225735727964,267330892.5622382,0,200,221,0,88.21
421,17,21,train,7.987514952397123e-10,7.764603205827922e-10,0.027907521663205575,267330892.5622382,0,200,218,0,84.86
422,17,22,train,7.764603205827922e-10,7.571095295903702e-10,0.024921802801072625,267330892.5622382,0,200,218,0,85.61
423,17,23,train,7.571095295903702e-10,7.375598994433252e-10,0.025821402826117147,267330892.5622382,0,200,212,0,83.35
424,17,24,train,7.375598994433252e-10,7.203549429007999e-10,0.023326860036060524,267330892.5622382,0,200,219,0,82.97
425,18,0,train,1.936316236151847e-08,3.922957045838756e-09,0.7974010147415242,51644456.692020394,1,200,213,0,83.41
426,18,1,train,3.922957045838756e-09,2.708080498221955e-09,0.3096838770909997,51644456.692020394,0,200,215,0,86.76
427,18,2,train,2.708080498221955e-09,2.273908761746467e-09,0.16032453125398322,51644456.692020394,0,200,214,0,84.85
428,18,3,train,2.273908761746467e-09,2.0352507956857355e-09,0.10495494369678712,51644456.692020394,0,200,215,0,84.95
429,18,4,train,2.0352507956857355e-09,1.842478750316222e-09,0.0947166048420892,51644456.692020394,0,200,219,0,84.18
430,18,5,train,1.842478750316222e-09,1.7305265141936837e-09,0.060761751582385524,542747100.789288,1,200,216,0,85.13
431,18,6,train,1.7305265141936837e-09,1.6242063300794529e-09,0.061438055552572285,542747100.789288,0,200,210,0,80.67
432,18,7,train,1.6242063300794529e-09,1.4981058405610141e-09,0.07763822070085773,542747100.789288,0,200,208,0,80.53
433,18,8,train,1.4981058405610141e-09,1.390651447610644e-09,0.07172683667672669,542747100.789288,0,200,213,0,82.99
434,18,9,train,1.390651447610644e-09,1.3079136979178497e-09,0.05949567724892571,542747100.789288,0,200,216,0,84.27
435,18,10,train,1.3079136979178497e-09,1.2412039502352167e-09,0.05100470144844609,542747100.789288,0,200,213,0,79.12
436,18,11,train,1.2412039502352167e-09,1.185591057450317e-09,0.04480560408654885,542747100.789288,0,200,221,0,84.86
437,18,12,train,1.185591057450317e-09,1.137997563964558e-09,0.04014326287861147,542747100.789288,0,200,216,0,87.75
438,18,13,train,1.137997563964558e-09,1.0964948599295639e-09,0.0364699410167514,542747100.789288,0,200,221,0,82.35
439,18,14,train,1.0964948599295639e-09,1.0590549831877752e-09,0.03414505449135773,542747100.789288,0,200,212,0,81.58
440,18,15,train,1.0590549831877752e-09,1.0246571173371675e-09,0.03247977337972529,542747100.789288,0,200,211,0,85.37
441,18,16,train,1.0246571173371675e-09,9.947668008800762e-10,0.029171042635968713,542747100.789288,0,200,212,0,82.74
442,18,17,train,9.947668008800762e-10,9.659617251492926e-10,0.028956611444309915,542747100.789288,0,200,215,0,79.64
443,18,18,train,9.659617251492926e-10,9.364138958279176e-10,0.030589027030867428,542747100.789288,0,200,218,0,85.51
444,18,19,train,9.364138958279176e-10,9.10122754782991e-10,0.028076410615074952,542747100.789288,0,200,217,0,86.3
445,18,20,train,9.10122754782991e-10,8.852267320658998e-10,0.02735457671644235,542747100.789288,0,200,214,0,78.86
446,18,21,train,8.852267320658998e-10,8.592882739530177e-10,0.02930148534076484,542747100.789288,0,200,214,0,82.33
447,18,22,train,8.592882739530177e-10,8.356987260442359e-10,0.02745242618086919,542747100.789288,0,200,217,0,86.36
448,18,23,train,8.356987260442359e-10,8.152675781055964e-10,0.024447982630474922,542747100.789288,0,200,218,0,82.93
449,18,24,train,8.152675781055964e-10,7.949367272974348e-10,0.024937641768367082,542747100.789288,0,200,217,0,82.97
450,19,0,train,1.1861829389225889e-08,3.133370385599245e-09,0.735844254475175,84304028.25624022,1,200,213,0,84.37
451,19,1,train,3.133370385599245e-09,2.4488473730756357e-09,0.2184622078735505,84304028.25624022,0,200,209,0,80.18
452,19,2,train,2.4488473730756357e-09,2.081437549036364e-09,0.15003377837215812,84304028.25624022,0,200,210,0,80.92
453,19,3,train,2.081437549036364e-09,1.8548761417273825e-09,0.10884852510413873,84304028.25624022,0,200,209,0,80.44
454,19,4,train,1.8548761417273825e-09,1.69467333707374e-09,0.08636846474528011,84304028.25624022,0,200,214,0,80.45
455,19,5,train,1.69467333707374e-09,1.5766320017432993e-09,0.0696543296859012,84304028.25624022,0,200,209,0,81.62
456,19,6,train,1.5766320017432993e-09,1.4748183961804064e-09,0.06457664531121808,84304028.25624022,0,200,216,0,81.68
457,19,7,train,1.4748183961804064e-09,1.390011644663848e-09,0.05750318258586761,84304028.25624022,0,200,215,0,83.42
458,19,8,train,1.390011644663848e-09,1.3152975533260906e-09,0.05375069455322865,84304028.25624022,0,200,216,0,84.98
459,19,9,train,1.3152975533260906e-09,1.2421220628889369e-09,0.05563417209445073,84304028.25624022,0,200,219,0,85.92
460,19,10,train,1.2421220628889369e-09,1.1805470977117348e-09,0.04957239470812598,84304028.25624022,0,200,212,0,84.21
461,19,11,train,1.1805470977117348e-09,1.1397797848232013e-09,0.034532559495130045,847064892.1489953,1,200,215,0,81.93
462,19,12,train,1.1397797848232013e-09,1.0995415865914763e-09,0.0353034847323306,847064892.1489953,0,200,217,0,80.32
463,19,13,train,1.0995415865914763e-09,1.0582411297212343e-09,0.03756152325104081,847064892.1489953,0,200,216,0,79.65
464,19,14,train,1.0582411297212343e-09,1.0172892942990674e-09,0.03869801907336049,847064892.1489953,0,200,215,0,84.92
