arch,mode,q,stratum,forward_um,backward_um,backward_over_forward
2x256,physics,16,0.05-0.2 mm,1.0867438504646998e-05,1.0434987984808686e-05,0.9602067663273739
2x256,physics,16,0.5-2 mm,0.0011426584869411727,0.0010901801541507439,0.9540734756795881
2x256,physics,16,5-20 mm,0.11382016138838935,0.11434420668621215,1.0046041517726776
2x256,physics,16,50-200 mm,9.660423582330324,11.91618705457298,1.2335056483826057
2x256,physics,16,500-2000 mm,490.8019631684191,497.3235294195373,1.0132875716490977
2x256,physics,16,full crossing,1115.1392269494522,1096.3776380859258,0.98317556372324
2x256,physics,18,0.05-0.2 mm,1.0711346476455219e-05,1.0226003155366925e-05,0.9546888598781549
2x256,physics,18,0.5-2 mm,0.0011352998221525468,0.001097688379303463,0.9668709162855572
2x256,physics,18,5-20 mm,0.11854256015197961,0.11135395399719528,0.9393584367878671
2x256,physics,18,50-200 mm,10.584499883862009,12.605010524367799,1.1908933499622807
2x256,physics,18,500-2000 mm,503.7721724553137,429.8908179628986,0.8533437166004468
2x256,physics,18,full crossing,1163.7612542331226,1050.9172721049963,0.9030351098924612
2x256,physics,20,0.05-0.2 mm,1.015985162666766e-05,1.0782542858578381e-05,1.0612894021283024
2x256,physics,20,0.5-2 mm,0.001141047448527388,0.0010851554037571987,0.9510168969377019
2x256,physics,20,5-20 mm,0.11200381131715176,0.11838384919826694,1.0569626855201326
2x256,physics,20,50-200 mm,8.864146639041337,12.372038110028072,1.395739332146937
2x256,physics,20,500-2000 mm,453.41651595446206,517.7973654235757,1.1419905257169318
2x256,physics,20,full crossing,1040.4906549966313,1025.5163524901009,0.9856084219165054
2x256,data,2,0.05-0.2 mm,5.253610879663029e-07,5.540954362004413e-07,1.0546944737482755
2x256,data,2,0.5-2 mm,5.739134678606206e-05,5.733195962420723e-05,0.9989652244601228
2x256,data,2,5-20 mm,0.006767951873598577,0.0060919079771792894,0.9001110071340048
2x256,data,2,50-200 mm,1.3620432571599395,1.2655344566780968,0.9291441002519423
2x256,data,2,500-2000 mm,262.90799539901855,280.2672236405197,1.0660277684410278
2x256,data,2,full crossing,1611.8598619948443,2053.8896627949443,1.274235875724979
2x256,data,4,0.05-0.2 mm,5.007194658901426e-07,4.7276671466534026e-07,0.9441748261671633
2x256,data,4,0.5-2 mm,4.897603389508731e-05,5.4129287718751584e-05,1.105219908878354
2x256,data,4,5-20 mm,0.0054456765905541715,0.005105637946201114,0.9375580538618702
2x256,data,4,50-200 mm,1.1057213880860672,1.0265498996133715,0.9283983385636263
2x256,data,4,500-2000 mm,271.19720651647583,285.9127571034015,1.054261438662834
2x256,data,4,full crossing,1150.5282311329665,1901.5847831085894,1.652792805645482
2x256,data,6,0.05-0.2 mm,5.469473762786947e-07,5.437073014036287e-07,0.9940760756599459
2x256,data,6,0.5-2 mm,5.688776560930364e-05,6.212017922280211e-05,1.0919778366658637
2x256,data,6,5-20 mm,0.006676284172363323,0.006357272724244467,0.9522172154625453
2x256,data,6,50-200 mm,1.5673286047022117,1.3155437651093393,0.8393541476640689
2x256,data,6,500-2000 mm,320.33695214663635,325.25770964953085,1.0153611922381094
2x256,data,6,full crossing,1476.8637371321347,1976.92377421194,1.33859592087409
2x256,data,8,0.05-0.2 mm,4.3780268299542513e-07,4.234834705130197e-07,0.9672929997038071
2x256,data,8,0.5-2 mm,4.2094214336430014e-05,4.853914958857786e-05,1.153107389073423
2x256,data,8,5-20 mm,0.005400954904644095,0.004770345995552816,0.8832412193352993
2x256,data,8,50-200 mm,1.227675493140623,1.1072163533505375,0.9018803091996822
2x256,data,8,500-2000 mm,281.2948019814243,305.35229787564333,1.0855241395317632
2x256,data,8,full crossing,1222.561423098,1735.263486909556,1.419367120641151
2x256,data,10,0.05-0.2 mm,5.102407385493279e-07,5.30860688741086e-07,1.0404121988580977
2x256,data,10,0.5-2 mm,5.669407698860596e-05,5.5139445009899646e-05,0.9725785820797691
2x256,data,10,5-20 mm,0.0063659929310233565,0.005886921549347335,0.9247452224866028
2x256,data,10,50-200 mm,1.418875006876874,1.30483139878379,0.9196239220929625
2x256,data,10,500-2000 mm,275.7390348488764,279.8320472219942,1.0148437901632645
2x256,data,10,full crossing,1714.4941349793044,1739.40517670367,1.014529674506391
2x256,data,12,0.05-0.2 mm,5.473452802107204e-07,5.061764341007802e-07,0.9247845051407207
