tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
w100_physics_s4,physics,4,100,4,B,6,0.8983332387068134,False,2344.8570751309426,45703.476472038834,564
w100_physics_s4,physics,4,100,4,B,7,0.9801449282487681,False,2033.764029448605,48290.94967857919,564
w100_physics_s4,physics,4,100,4,B,8,1.0,True,2105.733348526087,48555.34686737748,564
w100_physics_s4,physics,4,100,4,C,0,0.019855071751231912,False,284.61360880510256,2665.5021794590657,2793
w100_physics_s4,physics,4,100,4,C,1,0.10166676129318664,False,244.8207999992036,2267.9399712303407,2793
w100_physics_s4,physics,4,100,4,C,2,0.2372337950418355,False,217.65102607166932,2118.114601698108,2793
w100_physics_s4,physics,4,100,4,C,3,0.4082826787521751,False,255.85781033396415,2101.6953328841,2793
w100_physics_s4,physics,4,100,4,C,4,0.5917173212478248,False,301.9216920141332,2288.3136179653507,2793
w100_physics_s4,physics,4,100,4,C,5,0.7627662049581645,False,273.0221576057943,2644.484426394593,2793
w100_physics_s4,physics,4,100,4,C,6,0.8983332387068134,False,235.07489929571435,2609.3375703500215,2793
w100_physics_s4,physics,4,100,4,C,7,0.9801449282487681,False,291.1564797798194,2951.596183381867,2793
w100_physics_s4,physics,4,100,4,C,8,1.0,True,322.08522183583807,2885.1965003927503,2793
w100_physics_s5,physics,5,100,4,A,0,0.019855071751231912,False,449.2706438563831,6224.200779287386,604
w100_physics_s5,physics,5,100,4,A,1,0.10166676129318664,False,343.4862031187498,5943.686895712129,604
w100_physics_s5,physics,5,100,4,A,2,0.2372337950418355,False,377.57415644412924,8281.48825512036,604
w100_physics_s5,physics,5,100,4,A,3,0.4082826787521751,False,335.48960126796453,15007.023419822759,604
w100_physics_s5,physics,5,100,4,A,4,0.5917173212478248,False,323.4521628455991,25608.53460159238,604
w100_physics_s5,physics,5,100,4,A,5,0.7627662049581645,False,454.724528639422,25872.344288710236,604
w100_physics_s5,physics,5,100,4,A,6,0.8983332387068134,False,336.6694436768948,25294.989739456032,604
w100_physics_s5,physics,5,100,4,A,7,0.9801449282487681,False,347.05662950489466,25264.9679504398,604
w100_physics_s5,physics,5,100,4,A,8,1.0,True,409.3164182516559,28013.921405354533,604
w100_physics_s5,physics,5,100,4,B,0,0.019855071751231912,False,893.6863216124635,6588.145648303468,564
w100_physics_s5,physics,5,100,4,B,1,0.10166676129318664,False,875.7881799650136,6177.780948663474,564
w100_physics_s5,physics,5,100,4,B,2,0.2372337950418355,False,959.0332035325275,7524.145494378787,564
w100_physics_s5,physics,5,100,4,B,3,0.4082826787521751,False,1722.9612524160718,13791.813608872855,564
w100_physics_s5,physics,5,100,4,B,4,0.5917173212478248,False,1865.6384502040808,23158.7242475017,564
w100_physics_s5,physics,5,100,4,B,5,0.7627662049581645,False,1751.4318667176667,34192.879129775276,564
w100_physics_s5,physics,5,100,4,B,6,0.8983332387068134,False,2502.186345314186,34291.19179122715,564
w100_physics_s5,physics,5,100,4,B,7,0.9801449282487681,False,2799.101340759819,38003.76716598397,564
w100_physics_s5,physics,5,100,4,B,8,1.0,True,2948.081403570768,39733.32264042938,564
w100_physics_s5,physics,5,100,4,C,0,0.019855071751231912,False,290.8150637654927,2309.7961710145923,2793
w100_physics_s5,physics,5,100,4,C,1,0.10166676129318664,False,232.09842311180216,1966.461803123278,2793
w100_physics_s5,physics,5,100,4,C,2,0.2372337950418355,False,268.9601321264945,1841.330042421305,2793
w100_physics_s5,physics,5,100,4,C,3,0.4082826787521751,False,254.30276830692122,2111.5688756421664,2793
w100_physics_s5,physics,5,100,4,C,4,0.5917173212478248,False,241.3536039183164,2251.3930993709023,2793
w100_physics_s5,physics,5,100,4,C,5,0.7627662049581645,False,260.418440457169,2255.3422615678796,2793
w100_physics_s5,physics,5,100,4,C,6,0.8983332387068134,False,265.9327176093029,2338.165297499092,2793
w100_physics_s5,physics,5,100,4,C,7,0.9801449282487681,False,243.47428958498085,2722.959631731275,2793
w100_physics_s5,physics,5,100,4,C,8,1.0,True,261.6112932234027,2838.2135858762927,2793
w100_physics_s6,physics,6,100,4,A,0,0.019855071751231912,False,364.3804993587288,7980.301700446637,604
w100_physics_s6,physics,6,100,4,A,1,0.10166676129318664,False,365.7350424124181,7142.221933747444,604
w100_physics_s6,physics,6,100,4,A,2,0.2372337950418355,False,358.5432210497172,6838.3297494289745,604
w100_physics_s6,physics,6,100,4,A,3,0.4082826787521751,False,315.5213910127791,11077.171785727234,604
w100_physics_s6,physics,6,100,4,A,4,0.5917173212478248,False,349.8543701819408,19477.968248060653,604
w100_physics_s6,physics,6,100,4,A,5,0.7627662049581645,False,414.228849744453,24022.78654884932,604
