arm,tag,mode,seed,width,depth,converged,split,leg,band,endpoint_med_um,endpoint_p95_um,stage_med_um,slope_med_mrad,rho_mean,rho_median,straight_med_um,n,ceiling_leg_um,ceiling_band_um,ceiling_band_n,ceiling_own_um,ceiling_own_p95_um
wave1,w50_physics_s5,physics,5,50,4,True,val,C,all,546.0342440477224,4830.57356120903,983.6389129553038,0.2829714272083936,0.0028104550334729925,5.553282914835779e-05,6.048405576626337,2756,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
wave1,w50_physics_s5,physics,5,50,4,True,test,A,1-5GeV,1668.8478818232225,101061.4373797558,2784.0748623650607,0.6501064073963017,0.2842495088613797,0.0777885175488928,31.11023947234115,324,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
wave1,w50_physics_s5,physics,5,50,4,True,test,A,5-20GeV,508.51931136225517,31431.190083821093,1024.7614210156175,0.2631457679772402,0.15037981693491098,0.05770448899904078,9.80516663159503,191,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
wave1,w50_physics_s5,physics,5,50,4,True,test,A,20-200GeV,371.1759839050696,7970.309949371034,1510.4093798297572,0.12898599812370898,0.09543327956535509,0.05921701557025783,5.945399012586616,89,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
wave1,w50_physics_s5,physics,5,50,4,True,test,A,all,793.9788621826208,61095.01381628799,1865.2925623241472,0.41797168877931834,0.21409428441551587,0.06668697374165192,10.945522383782214,604,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
wave1,w50_physics_s5,physics,5,50,4,True,test,B,1-5GeV,16743.857300436277,140820.46567828092,21099.3119875684,5.558489044458936,0.0007741687681446244,0.00016376980003342685,1197127.786821343,191,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
wave1,w50_physics_s5,physics,5,50,4,True,test,B,5-20GeV,5774.390598381501,50983.54069720361,8007.867887174825,1.850721799059766,0.0028126307768259915,0.00014912053910132942,355193.23732396663,278,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
wave1,w50_physics_s5,physics,5,50,4,True,test,B,20-200GeV,4217.987093647253,18735.221416511693,4493.997236059016,1.5544288192336184,0.012487688484661625,0.0005830865242443771,104910.80409850382,95,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
wave1,w50_physics_s5,physics,5,50,4,True,test,B,all,7741.908848921753,89119.48761636611,10084.80512481782,2.2488705429403506,0.0037519645331845807,0.00019920057739138385,444074.60985912883,564,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
wave1,w50_physics_s5,physics,5,50,4,True,test,C,1-5GeV,828.893680030717,7114.207033496685,1373.4438345816216,0.4974182027378815,0.006635557840486707,4.840807481512947e-05,20.65045648123487,1625,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
wave1,w50_physics_s5,physics,5,50,4,True,test,C,5-20GeV,357.97579236097476,2283.176350902766,662.903333394425,0.14525227326786516,0.0005445554565191402,7.343683182714039e-05,4.010366603324655,857,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
wave1,w50_physics_s5,physics,5,50,4,True,test,C,20-200GeV,260.9702682616177,1022.4908258231267,444.348574944482,0.08412206947878281,0.0011240570262017596,0.00018849827398874594,0.7430259263347949,311,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
wave1,w50_physics_s5,physics,5,50,4,True,test,C,all,541.7461427166188,5005.956236083315,976.7007770994667,0.2878785229683545,0.004152899123586305,6.635072696921162e-05,6.63368461363234,2793,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
