restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
797,33,12,train,7.640740081105296e-10,7.360879219787174e-10,0.036627454716093216,399897898.0515629,0,200,220,0,80.07
798,33,13,train,7.360879219787174e-10,7.091312213830428e-10,0.036621577111618384,399897898.0515629,0,200,217,0,78.73
799,33,14,train,7.091312213830428e-10,6.845173844344705e-10,0.03470984805966815,399897898.0515629,0,200,218,0,78.19
800,33,15,train,6.845173844344705e-10,6.65185600392269e-10,0.028241480029280664,399897898.0515629,0,200,219,0,78.95
801,33,16,train,6.65185600392269e-10,6.439943161533463e-10,0.03185770140908936,399897898.0515629,0,200,221,0,79.35
802,33,17,train,6.439943161533463e-10,6.259999846874464e-10,0.027941755097128925,399897898.0515629,0,200,219,0,78.5
803,33,18,train,6.259999846874464e-10,6.09478434202916e-10,0.026392253815755894,399897898.0515629,0,200,217,0,77.65
804,33,19,train,6.09478434202916e-10,5.940377772547028e-10,0.02533421378298106,399897898.0515629,0,200,220,0,79.22
805,33,20,train,5.940377772547028e-10,5.793295767857956e-10,0.02475970558114994,399897898.0515629,0,200,221,0,79.43
806,33,21,train,5.793295767857956e-10,5.66138547567046e-10,0.02276947310706185,399897898.0515629,0,200,217,0,77.89
807,33,22,train,5.66138547567046e-10,5.54270576672823e-10,0.020963015052101585,399897898.0515629,0,200,221,0,79.43
808,33,23,train,5.54270576672823e-10,5.434844954859327e-10,0.01945995627557409,399897898.0515629,0,200,215,0,77.59
809,33,24,train,5.434844954859327e-10,5.324923266587824e-10,0.02022535862282896,399897898.0515629,0,200,216,0,78.39
810,34,0,train,5.3152785063336836e-08,3.6781980503736066e-09,0.9307995235622994,18813689.608331915,1,200,206,0,74.34
811,34,1,train,3.6781980503736066e-09,2.6386690524776707e-09,0.28261909327866336,271872255.4644459,1,200,208,0,75.38
812,34,2,train,2.6386690524776707e-09,2.149575871888734e-09,0.18535601504466254,271872255.4644459,0,200,214,0,77.98
813,34,3,train,2.149575871888734e-09,1.8226950873598318e-09,0.1520675724005439,271872255.4644459,0,200,213,0,77.44
814,34,4,train,1.8226950873598318e-09,1.600819129453774e-09,0.1217296076808131,271872255.4644459,0,200,217,0,78.66
815,34,5,train,1.600819129453774e-09,1.4399644588020682e-09,0.10048272643180628,271872255.4644459,0,200,218,0,78.56
816,34,6,train,1.4399644588020682e-09,1.3182064334974978e-09,0.08455627120537615,271872255.4644459,0,200,224,0,81.93
817,34,7,train,1.3182064334974978e-09,1.2184107654977236e-09,0.07570564477901531,271872255.4644459,0,200,220,0,79.25
818,34,8,train,1.2184107654977236e-09,1.1363920498157208e-09,0.06731614493614392,271872255.4644459,0,200,217,0,78.07
819,34,9,train,1.1363920498157208e-09,1.0666150633124978e-09,0.0614022128318639,271872255.4644459,0,200,218,0,78.73
820,34,10,train,1.0666150633124978e-09,1.0052155676788577e-09,0.057564812035334305,271872255.4644459,0,200,213,0,76.6
821,34,11,train,1.0052155676788577e-09,9.544902985021173e-10,0.050462080779220334,271872255.4644459,0,200,217,0,78.13
822,34,12,train,9.544902985021173e-10,9.076673859120786e-10,0.049055409639593,271872255.4644459,0,200,221,0,79.42
823,34,13,train,9.076673859120786e-10,8.65997421013972e-10,0.04590884892953826,271872255.4644459,0,200,224,0,80.77
824,34,14,train,8.65997421013972e-10,8.28072561502665e-10,0.04379327073157085,271872255.4644459,0,200,218,0,78.07
825,34,15,train,8.28072561502665e-10,7.953391440762631e-10,0.03952964866629818,271872255.4644459,0,200,223,0,81.57
826,34,16,train,7.953391440762631e-10,7.647523520423057e-10,0.038457546396112596,271872255.4644459,0,200,217,0,79.43
827,34,17,train,7.647523520423057e-10,7.377730505875426e-10,0.035278481174609855,271872255.4644459,0,200,214,0,78.17
828,34,18,train,7.377730505875426e-10,7.111833363421867e-10,0.03604050625619984,271872255.4644459,0,200,218,0,78.53
829,34,19,train,7.111833363421867e-10,6.867202019231447e-10,0.03439778910577775,271872255.4644459,0,200,224,0,80.27
830,34,20,train,6.867202019231447e-10,6.65166393069489e-10,0.03138659499646977,271872255.4644459,0,200,216,0,77.68
831,34,21,train,6.65166393069489e-10,6.439778444647162e-10,0.03185450862451986,271872255.4644459,0,200,222,0,79.45
832,34,22,train,6.439778444647162e-10,6.256785889651746e-10,0.028415970606492275,271872255.4644459,0,200,217,0,77.83
833,34,23,train,6.256785889651746e-10,6.082109189752842e-10,0.02791796027219123,271872255.4644459,0,200,217,0,78.6
834,34,24,train,6.082109189752842e-10,5.93347079572141e-10,0.024438626370249742,271872255.4644459,0,200,219,0,79.17
835,35,0,train,2.763009576628569e-08,2.810094640524332e-09,0.898295877643927,36192418.89201855,1,200,213,0,76.43
836,35,1,train,2.810094640524332e-09,1.9786464418109542e-09,0.2958790735098655,36192418.89201855,0,200,212,0,76.19
837,35,2,train,1.9786464418109542e-09,1.6161702744563797e-09,0.1831940056065896,505396001.4628743,1,200,208,0,74.48
838,35,3,train,1.6161702744563797e-09,1.3039190974795828e-09,0.1932043806967225,505396001.4628743,0,200,209,0,75.32
839,35,4,train,1.3039190974795828e-09,1.1620191761523559e-09,0.10882570981705318,505396001.4628743,0,200,215,0,77.49
840,35,5,train,1.1620191761523559e-09,1.0632560888821192e-09,0.0849926483978157,505396001.4628743,0,200,216,0,78.4
841,35,6,train,1.0632560888821192e-09,9.825033945939312e-10,0.07594848986295423,505396001.4628743,0,200,220,0,79.92
842,35,7,train,9.825033945939312e-10,9.184895383872928e-10,0.06515382700850145,505396001.4628743,0,200,219,0,79.26
843,35,8,train,9.184895383872928e-10,8.674256882882483e-10,0.05559546185872052,505396001.4628743,0,200,218,0,78.66
844,35,9,train,8.674256882882483e-10,8.187847143710588e-10,0.05607509043590367,505396001.4628743,0,200,219,0,79.03
845,35,10,train,8.187847143710588e-10,7.749667224446433e-10,0.053515889045478576,505396001.4628743,0,200,219,0,78.92
846,35,11,train,7.749667224446433e-10,7.38396700536246e-10,0.047189151287730956,505396001.4628743,0,200,220,0,78.9
847,35,12,train,7.38396700536246e-10,7.090004282438568e-10,0.039810947517832616,505396001.4628743,0,200,216,0,78.0
848,35,13,train,7.090004282438568e-10,6.799878828886021e-10,0.04092034955058727,505396001.4628743,0,200,216,0,77.72
849,35,14,train,6.799878828886021e-10,6.534188880423e-10,0.0390727474928472,505396001.4628743,0,200,219,0,78.82
850,35,15,train,6.534188880423e-10,6.280753807209443e-10,0.038786003565472404,505396001.4628743,0,200,215,0,77.92
851,35,16,train,6.280753807209443e-10,6.073990531222023e-10,0.03292013703038067,505396001.4628743,0,200,220,0,78.83
852,35,17,train,6.073990531222023e-10,5.889602274467011e-10,0.030357020776901934,505396001.4628743,0,200,221,0,79.82
853,35,18,train,5.889602274467011e-10,5.712051445444449e-10,0.03014648880320694,505396001.4628743,0,200,220,0,79.07
854,35,19,train,5.712051445444449e-10,5.55326171262874e-10,0.027799072598050374,505396001.4628743,0,200,220,0,79.37
855,35,20,train,5.55326171262874e-10,5.40204774330434e-10,0.027229757419954138,505396001.4628743,0,200,221,0,79.92
856,35,21,train,5.40204774330434e-10,5.264512613407017e-10,0.025459813839630297,505396001.4628743,0,200,213,0,76.89
857,35,22,train,5.264512613407017e-10,5.131390039169785e-10,0.025286780375112353,505396001.4628743,0,200,217,0,78.71
858,35,23,train,5.131390039169785e-10,4.999015203087598e-10,0.025797071567688516,505396001.4628743,0,200,220,0,80.22
859,35,24,train,4.999015203087598e-10,4.871158396450754e-10,0.025576398839090297,505396001.4628743,0,200,224,0,80.56
860,36,0,train,6.263403140143374e-08,2.9040331371931908e-09,0.9536348998744679,15965761.386023594,1,200,212,0,75.26
861,36,1,train,2.9040331371931908e-09,2.0909933083862787e-09,0.2799691981451466,344348687.75861186,1,200,211,0,75.95
862,36,2,train,2.0909933083862787e-09,1.7246811348235358e-09,0.17518572254324613,344348687.75861186,0,200,215,0,78.58
863,36,3,train,1.7246811348235358e-09,1.529664026023647e-09,0.11307429811936932,344348687.75861186,0,200,215,0,78.25
864,36,4,train,1.529664026023647e-09,1.40141384177388e-09,0.08384206078451933,344348687.75861186,0,200,217,0,77.77
865,36,5,train,1.40141384177388e-09,1.297136007487349e-09,0.07440902264425914,344348687.75861186,0,200,216,0,77.18
866,36,6,train,1.297136007487349e-09,1.2087924012739192e-09,0.06810666399166433,344348687.75861186,0,200,218,0,78.29
867,36,7,train,1.2087924012739192e-09,1.1454200074090701e-09,0.05242620138748582,344348687.75861186,0,200,217,0,78.26
868,36,8,train,1.1454200074090701e-09,1.093528921786541e-09,0.04530310740765421,344348687.75861186,0,200,212,0,76.81
869,36,9,train,1.093528921786541e-09,1.0438813068288087e-09,0.045401282004156794,344348687.75861186,0,200,217,0,78.16
870,36,10,train,1.0438813068288087e-09,1.0022875815899756e-09,0.03984526302630139,344348687.75861186,0,200,218,0,78.76
871,36,11,train,1.0022875815899756e-09,9.635993071790772e-10,0.03859997382141098,344348687.75861186,0,200,220,0,79.19
872,36,12,train,9.635993071790772e-10,9.290042973991141e-10,0.035901862446580085,344348687.75861186,0,200,221,0,79.4
873,36,13,train,9.290042973991141e-10,8.953546136388478e-10,0.036221235848395525,344348687.75861186,0,200,217,0,77.86
874,36,14,train,8.953546136388478e-10,8.661648605610244e-10,0.03260133206796375,344348687.75861186,0,200,220,0,80.05
875,36,15,train,8.661648605610244e-10,8.405655026480861e-10,0.02955483312536747,344348687.75861186,0,200,218,0,79.26
876,36,16,train,8.405655026480861e-10,8.133241654578743e-10,0.03240834545837497,344348687.75861186,0,200,223,0,81.39
877,36,17,train,8.133241654578743e-10,7.876749127356371e-10,0.031536321938494885,344348687.75861186,0,200,217,0,78.31
878,36,18,train,7.876749127356371e-10,7.624501529605395e-10,0.03202432801559042,344348687.75861186,0,200,208,0,75.06
879,36,19,train,7.624501529605395e-10,7.408226652762387e-10,0.02836577263487035,344348687.75861186,0,200,220,0,79.31
880,36,20,train,7.408226652762387e-10,7.199139717550168e-10,0.0282236147748335,344348687.75861186,0,200,215,0,77.59
