tag,width,depth,q,mode,seed,n_train,n_parameters,converged,restarts,final_loss,wall_s,val_median_um,val_p95_um,val_stage_um,val_slope_mrad,val_rho,val_straight_um,test_median_um,test_p95_um,test_stage_um,test_slope_mrad,test_rho,test_straight_um
w128_d2_q10_data_s1,128,2,10,data,1,4002,23212,True,137,9.96768616991273e-05,1597.5,0.1630540882260334,9519.978003117816,0.17485239104075845,0.06582228445635094,1.3951130574477624e-12,11.660928643891566,0.1576886110825626,10587.6124216493,0.1738380307187981,0.06790397213586596,1.5109648396120254e-12,12.07131072872647
w128_d2_q10_data_s2,128,2,10,data,2,4002,23212,True,161,0.00018347006980102705,1862.6,0.19791516811551446,10502.712894729422,0.21285549055960473,0.053928747378667596,1.16756245780801e-12,11.660928643891566,0.2017021157421084,10627.305547768068,0.2172587470177234,0.05851288951708514,1.280663354346157e-12,12.07131072872647
w128_d2_q10_physics_s0,128,2,10,physics,0,4002,23212,True,52,9.98647251519493e-07,1125.8,1.640871838553437,2534.1128261862914,1.6455579379908158,0.14058816719032807,3.7707834429008043e-11,11.660928643891566,1.8202242803049273,2476.924249660271,1.7935390254848471,0.14912570534548508,4.5716984384023913e-11,12.07131072872647
w128_d2_q10_physics_s1,128,2,10,physics,1,4002,23212,True,53,1.0888970386096385e-06,964.6,1.3027959179083837,2558.285127829558,1.4410737607022384,0.15107733350514657,2.5408494293179304e-11,11.660928643891566,1.2200891675302472,2392.2629324291365,1.3199480851113776,0.15470401012778953,2.6284061156246318e-11,12.07131072872647
w128_d2_q10_physics_s2,128,2,10,physics,2,4002,23212,True,52,1.0308940550885055e-06,980.6,1.2292104469331377,2575.53330772034,1.6474827348034182,0.14076036448590476,2.3841843337402267e-11,11.660928643891566,1.24108804463674,2578.95328109636,1.6205908571738092,0.1450221015906264,2.7833207743620028e-11,12.07131072872647
w128_d2_q12_data_s0,128,2,12,data,0,4002,24244,True,152,0.00016745882288258815,1868.5,0.1825182365564615,9534.961300809864,0.19961777663013436,0.06236385795625743,1.1367954321202487e-12,11.660928643891566,0.19579405644520875,10305.72037477272,0.2096172162282528,0.062335150982001375,1.051908029878413e-12,12.07131072872647
w128_d2_q12_data_s1,128,2,12,data,1,4002,24244,True,142,0.0002771565023786248,2174.8,0.23439394698243632,11917.122602826486,0.23653148275570857,0.04428023228523342,1.1749861868614669e-12,11.660928643891566,0.22920042666285667,12598.13640983954,0.2359996658185537,0.046294536125840446,1.2536962094994597e-12,12.07131072872647
w128_d2_q12_data_s2,128,2,12,data,2,4002,24244,True,66,0.0004023362449108139,844.3,0.25039572764651297,15595.976725809935,0.2643150817789319,0.04701026616770257,1.1889849230047657e-12,11.660928643891566,0.25170734132373696,15317.016629389136,0.2595770783386797,0.05091139508987125,1.3683732555074122e-12,12.07131072872647
w128_d2_q12_physics_s0,128,2,12,physics,0,4002,24244,True,47,1.238919137266544e-06,1091.5,1.1139530207628923,2547.941729155013,1.5537137437036108,0.139278011330431,2.1310509105495764e-11,11.660928643891566,1.168484015948934,2274.38901527101,1.5245268274810542,0.14824319538765673,2.581217998000908e-11,12.07131072872647
w128_d2_q12_physics_s1,128,2,12,physics,1,4002,24244,True,48,1.0947193377636318e-06,772.9,0.9013004307583117,2594.2728642357265,1.5314404417292593,0.13870828469850216,1.8538062239045562e-11,11.660928643891566,0.8606208459767117,2470.000164744504,1.444360239645448,0.15008293457019484,1.9791703768139835e-11,12.07131072872647
w128_d2_q12_physics_s2,128,2,12,physics,2,4002,24244,True,52,1.1189242041365092e-06,1105.2,1.0921088467412687,2754.044546322888,1.671111696045724,0.14555241626416915,2.066649849898136e-11,11.660928643891566,1.131435470240305,2720.234772162349,1.616531129677412,0.14952245454673013,2.1851444392764516e-11,12.07131072872647
w128_d2_q14_data_s0,128,2,14,data,0,4002,25276,True,145,0.00020819607594338058,1774.3,0.20852577316121668,11577.490130688506,0.23672809658625837,0.04806597109938138,1.0057384683235276e-12,11.660928643891566,0.20790158373529266,11491.508826797877,0.22426797686847522,0.04842016596390622,9.77647863639749e-13,12.07131072872647
