arch,mode,column,component,unit,median_abs,p95_abs,bias_over_rms,bias_over_median,p95_over_median,n_cells
4x128,physics,100 mm,ty,mrad,0.985807,10.2219,0.0715347,0.336047,10.2035,30
4x128,physics,100 mm,x,um,14600.4,98190.1,0.0712614,0.761398,6.24119,30
4x128,physics,100 mm,y,um,2785.74,35382.7,0.0402535,0.259008,12.725,30
4x128,physics,1000 mm,max_xy,um,2942.93,30333.2,nan,nan,10.1997,30
4x128,physics,1000 mm,tx,mrad,1.02869,12.9853,0.0570462,0.358644,13.0462,30
4x128,physics,1000 mm,ty,mrad,0.422728,5.82046,0.0610484,0.491782,14.05,30
4x128,physics,1000 mm,x,um,2598.19,27741.8,0.0280999,0.163209,10.7936,30
4x128,physics,1000 mm,y,um,1001.83,14051.6,0.0829149,0.799909,13.9973,30
4x128,physics,full crossing,max_xy,um,784.992,9773.62,nan,nan,11.4159,30
4x128,physics,full crossing,tx,mrad,0.177807,3.00672,0.0249573,0.199495,16.1689,30
4x128,physics,full crossing,ty,mrad,0.0758667,1.57673,0.0268063,0.363146,20.8187,30
4x128,physics,full crossing,x,um,689.671,8357.72,0.043299,0.277956,11.5676,30
4x128,physics,full crossing,y,um,248.252,4120.68,0.0208972,0.23317,16.1406,30
4x256,data,0.1 mm,max_xy,um,172648,1.80286e+06,nan,nan,10.5749,30
4x256,data,0.1 mm,tx,mrad,65.9505,675.291,0.0881898,0.377676,9.83377,30
4x256,data,0.1 mm,ty,mrad,0.774544,19.2186,0.0675817,0.996821,25.6417,30
4x256,data,0.1 mm,x,um,172648,1.80286e+06,0.10961,0.485724,10.5749,30
4x256,data,0.1 mm,y,um,2015.94,57886.1,0.045843,0.777956,28.601,30
4x256,data,1 mm,max_xy,um,3687.49,1.50884e+06,nan,nan,396.666,30
4x256,data,1 mm,tx,mrad,1.60437,594.622,0.0677321,6.83116,329.825,30
4x256,data,1 mm,ty,mrad,0.342739,18.2509,0.0571303,1.82407,57.5809,30
4x256,data,1 mm,x,um,3305.98,1.50884e+06,0.13115,20.4109,452.227,30
4x256,data,1 mm,y,um,924.733,48082.6,0.0664527,2.19329,59.9183,30
