N,q,variable,lo,hi,n,pos_med_um,pos_p90_um,dx_med_um,dy_med_um,dtx_med_mrad,dty_med_mrad
64,7,charge,0,1.5,739,1922.6171755535386,6891.919704455794,1781.1710092748854,448.66259049160817,1.0165632292806204,0.11391499176176961
64,7,abs_pid,0,212,1137,1966.7514276752343,6200.630978610753,1848.0943593642678,400.8274094987456,1.0080149791082682,0.11391499176176961
64,7,abs_pid,212,322,163,1935.5497783064238,7330.559452177254,1869.2940258631552,373.09502196102073,0.9846759460102328,0.10894743131858314
64,7,abs_pid,322,2213,152,2162.024293139396,7246.618578860447,2001.2893163851686,471.2050831233796,1.1236730712223808,0.11936635745881091
128,7,p_gev,1,2,5,19301.33287270513,28073.788056034165,19301.33287270513,5701.705797838357,10.973465893615364,0.9723647832098727
128,7,p_gev,2,5,500,2764.2394063847178,7544.8472108730975,2647.0679653979514,1138.2694873281948,1.5389203524709543,0.31983424924706716
128,7,p_gev,5,10,430,2266.89046511126,4907.501798127029,2150.249357976946,477.86716478148605,0.8349324839987682,0.1555301021231338
128,7,p_gev,10,25,383,1840.804550995074,3290.8267954083044,1837.7580864714673,343.74406246516287,0.8255656173441206,0.07661998764187106
128,7,p_gev,25,200,134,10739.998874760473,17879.867673313176,10739.998874760473,229.4913470235258,4.462766582872854,0.08813790369633506
128,7,eta,2,2.5,158,4603.344980425135,14558.584965541913,3487.7546392460567,2107.0749616282,1.8881760974292678,0.7421234777691064
128,7,eta,2.5,3,255,2424.5453609037213,6574.14245955365,2209.134437178079,1063.6088332576037,1.1802607172999995,0.3091585958773209
128,7,eta,3,3.5,292,2478.921893715892,4901.971541282405,2459.1683597722495,646.9597535810792,1.1457281467319447,0.2204734175357964
128,7,eta,3.5,4,302,2369.9471242714762,4734.643925334026,2361.5138237378515,392.74806541251905,1.0377348617299151,0.12175643997077226
128,7,eta,4,4.5,249,2477.7204884003368,9985.569446437396,2477.7204884003368,278.4920417656451,1.0340753768714184,0.08946269317642967
128,7,eta,4.5,5,196,2213.2074458360335,12301.108935122968,2213.2074458360335,259.16271043102944,0.9425868563855133,0.07384277006675273
128,7,r1_mm,0,150,21,3651.626100340678,18273.23917435895,3651.626100340678,208.01691309344505,1.774357794787032,0.07420991613714054
128,7,r1_mm,150,300,267,2866.018058847544,15754.822244642899,2829.3075502835163,315.83004872160814,1.3426976049427664,0.0815388769605744
128,7,r1_mm,300,600,398,2123.8607464789684,5167.925426686662,2111.756308102258,382.6706411037861,0.8587735268826835,0.10708643469334658
128,7,r1_mm,600,1000,336,2582.4763636311727,4803.000581107824,2534.0992666004922,577.5143658263744,1.0199759877215497,0.21372635551237218
128,7,r1_mm,1000,1500,264,2325.1869914136023,5529.440843273207,2097.892424355109,1112.9016027182317,1.0861706534368438,0.2989701413044386
128,7,r1_mm,1500,4000,166,4133.124368516405,10476.411822737758,3671.4253770223877,1651.0750409411799,2.4255802377198545,0.43500894216540187
128,7,abs_x1_mm,0,150,217,3024.6016945074957,16273.984566145476,2996.157250365428,432.22742909802037,1.4715664472050167,0.09577656918244998
128,7,abs_x1_mm,150,300,296,2623.6867842599877,10759.590981943873,2604.444309541975,374.36600961739686,1.1920093295844163,0.09644835339330404
128,7,abs_x1_mm,300,600,368,2146.5118752428793,4962.019719356926,2091.6319653560436,422.0031010243872,0.8587735268826835,0.13074304611737295
128,7,abs_x1_mm,600,1000,280,2300.900071077592,4744.594770013816,2187.4249530060865,713.9498854982804,0.895410877055039,0.21802678671425935
128,7,abs_x1_mm,1000,2000,257,2548.7794653085275,7047.493622224556,2369.870673984451,1140.2897249836315,1.6972366576413211,0.29987976184968346
128,7,abs_x1_mm,2000,4000,34,8260.017345575874,21254.25441467505,7620.819254192156,2336.82972378665,2.917596057816496,1.8987580791367602
128,7,abs_y1_mm,0,100,240,2056.730203036409,9808.678281193477,2023.4020745859027,334.5307805836777,0.9166237809324768,0.07682068329333425
128,7,abs_y1_mm,100,300,575,2497.117967827734,8849.950058101294,2452.648802594894,371.3267114200107,1.051002572445503,0.10880807235454787
128,7,abs_y1_mm,300,600,330,2429.31421480921,5234.534395055019,2375.4455148511224,663.8516728892228,1.0819435091202512,0.2514410760280118
128,7,abs_y1_mm,600,1000,205,2897.686537692266,7298.668812197455,2532.112243510255,1151.4422204329549,1.4261035030359581,0.3453354257667435
128,7,abs_y1_mm,1000,3000,102,4424.658590541526,10807.95533174969,4173.032558856704,1763.528104840816,1.9696032713868195,0.6101502276690749
128,7,max_slope0,0,0.02,192,2206.1857512329934,14624.963191742265,2206.1857512329934,249.3339000133119,1.0356848850464928,0.0824129819426752
128,7,max_slope0,0.02,0.05,518,2461.629969166708,7105.000409064998,2461.629969166708,325.6464608070644,1.0231119199306735,0.10075119964994983
128,7,max_slope0,0.05,0.1,382,2439.336890522526,4709.09743015301,2384.489254886461,710.9531121984105,1.1385221997571304,0.22164551034713037
128,7,max_slope0,0.1,0.2,311,2672.8147467243843,7884.169693730968,2368.9094022581116,1309.53087297803,1.312070263288001,0.36134364445270417
128,7,max_slope0,0.2,0.4,49,7356.740578469327,18059.370084054128,5415.127186766256,5295.38446936408,2.942354847544848,1.8394628648885774
128,7,charge,-1.5,0,713,2438.2334144590345,7543.247182638823,2334.40076311922,452.67567081455695,1.0807337777350157,0.14685059499897068
128,7,charge,0,1.5,739,2612.151389276647,8120.266251585333,2561.469486712724,581.3887145652643,1.1658995305352318,0.14739102101939822
128,7,abs_pid,0,212,1137,2517.9936987352107,7248.837003043871,2436.4676355928905,522.3759705944531,1.1350755330514217,0.15180067114351284
128,7,abs_pid,212,322,163,2578.9818232976813,8889.840960626572,2408.486552265117,457.91643692265893,1.0603430705369425,0.13803475566059875
128,7,abs_pid,322,2213,152,2690.573230744903,8877.51266956646,2508.971683224331,524.8659648499121,1.2396039395916185,0.14058126685471614
