tag,width,depth,q,mode,seed,stratum,direction,component,unit,median_abs,p95_abs,mean,rms,n
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,backward,x,um,1.60428,28.7168,1.13215,17.0602,1032
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,backward,y,um,1.17011,18.4534,0.812333,13.0979,1032
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,backward,tx,mrad,0.312017,3.30244,0.00621799,1.64179,1032
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,backward,ty,mrad,0.0285421,0.416059,0.0318158,0.319132,1032
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,backward,max_xy,um,2.21891,33.0085,8.06638,19.862,1032
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,all,x,um,351.463,5505.48,-157.557,3390.11,2000
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,all,y,um,157.315,2863.02,-63.7276,1365.76,2000
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,all,tx,mrad,0.8071,11.2611,-0.18392,6.21913,2000
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,all,ty,mrad,0.276737,4.4758,0.0782826,2.16551,2000
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,all,max_xy,um,438.556,5748.9,1452.8,3478.1,2000
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,forward,x,um,392.754,6233.14,-120.309,4001.48,988
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,forward,y,um,149.976,2435.15,-55.3135,1225.17,988
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,forward,tx,mrad,0.803954,11.7702,-0.660023,6.42837,988
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,forward,ty,mrad,0.262603,4.63388,0.00831657,2.16227,988
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,forward,max_xy,um,439.316,6306.77,1644.89,4042.84,988
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,backward,x,um,326.909,4899.97,-193.921,2661.01,1012
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,backward,y,um,166.433,3340.73,-71.942,1490.27,1012
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,backward,tx,mrad,0.82117,10.942,0.280891,6.00782,1012
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,backward,ty,mrad,0.293174,4.2491,0.146589,2.16868,1012
w128_d2_q02_data_s1,128,2,2,data,1,500-2000 mm,backward,max_xy,um,438.542,5341.62,1265.26,2819.67,1012
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,all,x,um,2574.5,42974.7,138.817,22877.2,2000
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,all,y,um,1339.16,21695.7,611.295,11713.2,2000
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,all,tx,mrad,1.09454,20.2066,0.697708,10.3807,2000
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,all,ty,mrad,0.599044,8.26535,-0.359574,4.22541,2000
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,all,max_xy,um,3357.24,46039.8,11036,23954.3,2000
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,forward,x,um,2487.11,39674.2,429.005,20175.1,1001
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,forward,y,um,1176.03,20486.4,197.5,9958.96,1001
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,forward,tx,mrad,1.19921,18.5263,0.19545,10.6595,1001
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,forward,ty,mrad,0.693757,8.09084,0.207234,4.18534,1001
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,forward,max_xy,um,3106.34,42599.2,10306,21212.8,1001
w128_d2_q02_data_s1,128,2,2,data,1,full crossing,backward,x,um,2659.68,45838.1,-151.951,25296.8,999
