leg,EVT,MCKEY,P_GeV,ETA,direction,p_band,z0,z1,measurement,step_mm,reference_step_mm,integrator,field,pos_um,slope_urad
196,178,6594,26.397579193115234,3.0890066623687744,-1,25-200,7826.6181640625,2641.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,7.181881755968789e-07,3.7077285686137884e-07
197,179,3432,65.34317779541016,4.891683578491211,-1,25-200,7895.509765625,2641.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.6961116955371836e-06,5.60140475669435e-07
198,73,6119,35.41194534301758,4.326005458831787,-1,25-200,7825.34228515625,2656.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.5904815242606674e-06,8.313598290690671e-07
199,127,4342,32.29873275756836,4.604151248931885,-1,25-200,7825.5673828125,2648.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.4593428687703636e-06,7.168736090856775e-07
0,49,3770,1.9274177551269531,2.2583651542663574,1,1-2,2641.846435546875,7827.80712890625,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.556333018015721e-05,6.203815239302912e-06
1,151,4960,1.977277398109436,2.0418007373809814,1,1-2,2663.153564453125,7822.8486328125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.5269492337210977e-05,5.1755821850463235e-06
2,7,4597,1.9552112817764282,2.8423359394073486,1,1-2,2648.153564453125,7892.9833984375,difference from the finest step,0.1,0.05,RK6,v8r1.up,2.4444489099550992e-05,9.195977312970172e-06
3,63,6746,1.859548568725586,2.318098545074463,1,1-2,2663.153564453125,7828.5,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.7448655853513628e-05,7.052025630116532e-06
4,10,5301,1.829852819442749,2.3290703296661377,1,1-2,2663.153564453125,7827.04736328125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.6381818568333983e-05,6.754208303760834e-06
5,98,3520,1.8783323764801025,2.523362874984741,1,1-2,2663.153564453125,7826.3984375,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.6439798855572008e-05,7.067124663251434e-06
6,150,3461,1.8092975616455078,2.4818549156188965,1,1-2,2663.153564453125,7824.615234375,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.7461729839851614e-05,7.337797036655047e-06
7,28,3414,1.767580270767212,2.086083173751831,1,1-2,2641.846435546875,7827.38232421875,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.7353272596665192e-05,6.873279723151882e-06
8,15,3448,1.8131660223007202,2.0168025493621826,1,1-2,2648.153564453125,7826.279296875,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.615927658349392e-05,6.231737348372235e-06
9,69,2486,1.9027847051620483,2.1481149196624756,1,1-2,2641.846435546875,7829.435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.6803824109956622e-05,5.572986516710898e-06
10,190,2779,1.9819834232330322,2.454948663711548,1,1-2,2663.153564453125,7826.78076171875,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.4923784874554258e-05,6.077527370251801e-06
11,121,4954,1.9115512371063232,2.2933478355407715,1,1-2,2663.153564453125,7823.986328125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.5937160924295313e-05,6.436573496415576e-06
12,120,1974,1.7406113147735596,2.215954542160034,1,1-2,2663.153564453125,7827.09130859375,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.7727529666444752e-05,7.424061365668422e-06
13,12,1872,1.95877206325531,2.4768738746643066,1,1-2,2641.846435546875,7825.390625,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.5033435829536757e-05,6.132760965726902e-06
14,1,2008,1.904030442237854,2.1973259449005127,1,1-2,2641.846435546875,7823.38525390625,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.6136198155436432e-05,6.348810366318958e-06
15,47,3164,1.9818108081817627,2.503754138946533,1,1-2,2641.846435546875,7823.833984375,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.6247668099822477e-05,6.495137760964553e-06
16,74,11907,1.8638434410095215,2.211061954498291,1,1-2,2656.846435546875,7829.134765625,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.7082129488699138e-05,6.3905547520448636e-06
17,18,15444,1.9268559217453003,2.371795177459717,1,1-2,2656.846435546875,7827.90771484375,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.5621367310814094e-05,6.440570299304227e-06
18,172,5217,1.9459152221679688,2.412240743637085,1,1-2,2648.153564453125,7825.4521484375,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.5360512861661846e-05,6.245837180784974e-06
19,54,3692,1.844138264656067,2.2606470584869385,1,1-2,2663.153564453125,7826.38623046875,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.6087710719148163e-05,6.625811010962934e-06
20,47,3164,1.9818108081817627,2.503754138946533,-1,1-2,7823.833984375,2641.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.1145971257064957e-05,5.245054390812243e-06
21,156,509,1.7404330968856812,2.0114669799804688,-1,1-2,7827.01904296875,2663.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,6.804384611314163e-06,2.8385349626347534e-06
22,32,2096,1.9036808013916016,2.3876144886016846,-1,1-2,7826.97900390625,2663.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,6.5713834374037106e-06,2.9864721806660555e-06
23,6,515,1.6793636083602905,2.1100003719329834,-1,1-2,7823.70556640625,2641.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,2.448928171361331e-06,1.3229417561433365e-06
24,40,3517,1.8121778964996338,2.506880521774292,-1,1-2,7825.505859375,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,3.4219738154206425e-06,1.3229695117189522e-06
25,18,13202,1.9655860662460327,2.624391794204712,-1,1-2,7828.17236328125,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,9.159748515230604e-06,4.399078323835681e-06
26,102,3406,1.8679097890853882,2.0639867782592773,-1,1-2,7827.33154296875,2663.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.2883770494909186e-05,5.90164028757556e-06
27,79,6607,1.9275429248809814,2.640756607055664,-1,1-2,7824.9765625,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,8.024585440580267e-06,3.5907526951817204e-06
28,151,4960,1.977277398109436,2.0418007373809814,-1,1-2,7822.8486328125,2663.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,9.805376066651661e-06,5.190903262786151e-06
29,163,7072,1.77542245388031,2.0903000831604004,-1,1-2,7824.91748046875,2641.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,5.4080828704172745e-06,2.309902269459485e-06
30,168,5710,1.8529506921768188,2.025876760482788,-1,1-2,7822.33349609375,2641.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.053058440447785e-05,5.450029316733662e-06
31,186,1089,1.9959131479263306,2.003591775894165,-1,1-2,7829.09228515625,2641.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,3.205968823749572e-06,1.8127721546079556e-06
32,28,3414,1.767580270767212,2.086083173751831,-1,1-2,7827.38232421875,2641.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,5.400359270879562e-06,2.436911783476603e-06
33,74,11907,1.8638434410095215,2.211061954498291,-1,1-2,7829.134765625,2656.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,9.585278348822612e-06,4.646977247446671e-06
34,15,841,1.6709963083267212,2.096602201461792,-1,1-2,8036.27685546875,2663.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,7.763560461171437e-06,3.817030025388135e-06
35,60,7929,1.8677513599395752,2.423341989517212,-1,1-2,7825.38330078125,2656.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,4.375579010229558e-06,1.9843016119125423e-06
36,172,5217,1.9459152221679688,2.412240743637085,-1,1-2,7825.4521484375,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.1935924248973606e-05,5.255379464941257e-06
37,10,1339,1.8254313468933105,2.161985158920288,-1,1-2,7823.5927734375,2663.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,4.2504098018980585e-06,1.9409751583765456e-06
38,1,2008,1.904030442237854,2.1973259449005127,-1,1-2,7823.38525390625,2641.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,2.2571384761249647e-06,1.0768053115839393e-06
39,130,661,1.8326438665390015,2.4193062782287598,-1,1-2,7826.857421875,2641.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,8.903555226424942e-06,3.8032355043071675e-06
40,151,2711,4.091048717498779,2.019300937652588,1,2-5,2648.153564453125,7831.5595703125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.9309652543597622e-05,5.073663711385734e-06
41,135,1663,3.290304660797119,3.369908571243286,1,2-5,2641.846435546875,7827.75,difference from the finest step,0.1,0.05,RK6,v8r1.up,8.200572665373329e-06,3.2017166695652577e-06
42,149,9557,4.73928689956665,3.5447475910186768,1,2-5,2663.153564453125,7825.6142578125,difference from the finest step,0.1,0.05,RK6,v8r1.up,5.162291927263141e-06,2.2202795157966193e-06
43,121,12915,3.08609938621521,2.9906368255615234,1,2-5,2641.846435546875,7824.59521484375,difference from the finest step,0.1,0.05,RK6,v8r1.up,8.807660378806759e-06,3.3612557182038927e-06
44,18,9365,3.1350700855255127,2.7416179180145264,1,2-5,2641.846435546875,7828.958984375,difference from the finest step,0.1,0.05,RK6,v8r1.up,9.110522114497144e-06,3.2657765380861292e-06
45,44,1259,2.8564276695251465,2.4788262844085693,1,2-5,2648.153564453125,7826.66650390625,difference from the finest step,0.1,0.05,RK6,v8r1.up,9.609799178633693e-06,3.4818536942538003e-06
46,164,6890,4.898492813110352,3.9190187454223633,1,2-5,2656.846435546875,7825.08203125,difference from the finest step,0.1,0.05,RK6,v8r1.up,5.120796231494751e-06,2.021355305359407e-06
47,165,6690,2.8958024978637695,3.7657289505004883,1,2-5,2663.153564453125,7825.92431640625,difference from the finest step,0.1,0.05,RK6,v8r1.up,9.5731138571864e-06,3.7535530239551917e-06
48,181,1565,2.2180168628692627,2.2276899814605713,1,2-5,2641.846435546875,7830.818359375,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.918363068398321e-05,6.3205551903422474e-06
49,192,5971,3.5090086460113525,2.978078603744507,1,2-5,2656.846435546875,7823.26708984375,difference from the finest step,0.1,0.05,RK6,v8r1.up,7.921812539279927e-06,2.9889424268958464e-06
50,158,412,3.941915988922119,2.816506862640381,1,2-5,2648.153564453125,7829.34619140625,difference from the finest step,0.1,0.05,RK6,v8r1.up,7.174435268098023e-06,2.516264974161686e-06
51,64,3527,3.8158679008483887,3.5781190395355225,1,2-5,2663.153564453125,7825.287109375,difference from the finest step,0.1,0.05,RK6,v8r1.up,6.921993644937174e-06,2.6901258998179856e-06
52,178,6611,3.194182872772217,3.2097418308258057,1,2-5,2656.846435546875,7824.17919921875,difference from the finest step,0.1,0.05,RK6,v8r1.up,9.038785719894804e-06,3.6367575617646253e-06
53,89,6156,3.285076856613159,2.799776792526245,1,2-5,2656.846435546875,7822.69091796875,difference from the finest step,0.1,0.05,RK6,v8r1.up,8.658844308229163e-06,3.308964213744048e-06
54,152,5482,3.7384746074676514,4.057611465454102,1,2-5,2641.846435546875,7826.95751953125,difference from the finest step,0.1,0.05,RK6,v8r1.up,6.868503987789154e-06,2.8991808953549025e-06
55,165,1951,4.893462181091309,2.763047933578491,1,2-5,2663.153564453125,7822.54443359375,difference from the finest step,0.1,0.05,RK6,v8r1.up,5.518131729331799e-06,2.0207724382714787e-06
56,125,7176,4.474108695983887,4.146570682525635,1,2-5,2648.153564453125,7825.310546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,5.669107849826105e-06,2.286781874971666e-06
57,41,2392,2.702906370162964,2.9323878288269043,1,2-5,2648.153564453125,7828.4658203125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.0934627425740473e-05,4.118594354451943e-06
58,20,9414,4.677371501922607,2.824213743209839,1,2-5,2663.153564453125,7825.75439453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,5.2307314035715535e-06,2.371824958657953e-06
59,129,3447,2.599905014038086,2.8923940658569336,1,2-5,2648.153564453125,7827.77685546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.3016688171774149e-05,5.715761197677693e-06
60,101,9182,4.2334089279174805,3.3404769897460938,-1,2-5,7826.40234375,2656.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.3132535059412476e-06,7.144285163462882e-08
61,166,4776,3.7628555297851562,2.310622215270996,-1,2-5,7831.63427734375,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,3.7361829186011164e-06,1.137184096888788e-06
62,105,2830,4.552882671356201,2.8838789463043213,-1,2-5,7824.64111328125,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,2.285304390170495e-06,1.0411810302812796e-06
63,66,1332,4.671189308166504,3.5907645225524902,-1,2-5,7897.39501953125,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.2862457765550062e-06,3.9401121254556415e-07
64,43,4619,2.839054822921753,2.702672243118286,-1,2-5,7822.46826171875,2656.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,5.920398393755022e-06,3.577624307915528e-06
65,179,2590,4.290808200836182,3.2181577682495117,-1,2-5,7827.4951171875,2663.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.2441159213949504e-06,4.428471478412632e-07
66,149,6478,2.6735589504241943,4.249476432800293,-1,2-5,7826.90966796875,2641.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,3.335827614137088e-06,1.010559691483337e-06
67,199,5310,2.7698075771331787,2.6608269214630127,-1,2-5,7829.09423828125,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.6861179119587177e-06,7.447792382819785e-07
68,63,3932,2.647374153137207,2.6769585609436035,-1,2-5,7829.03759765625,2656.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,9.435439096705522e-07,9.040268533766493e-07
69,137,4363,3.320155143737793,3.286087989807129,-1,2-5,7824.40478515625,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,1.8388277567282785e-06,5.615299891736925e-07
70,39,1269,3.580068588256836,3.4383368492126465,-1,2-5,7826.93603515625,2656.846435546875,difference from the finest step,0.1,0.05,RK6,v8r1.up,2.5216593257937348e-06,1.5915324613757775e-06
71,180,3627,4.9692769050598145,2.092163562774658,-1,2-5,7832.44091796875,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,4.3910404201596975e-06,1.7223722448278522e-06
72,170,546,4.100716590881348,3.065164089202881,-1,2-5,8507.9365234375,2648.153564453125,difference from the finest step,0.1,0.05,RK6,v8r1.up,2.447109181957785e-06,9.136857936908882e-07
