predictor,arch,mode,seed,stratum,p_band,direction,n,median_abs_dz_mm,vs_hit_med_um,vs_hit_p95_um,vs_reference_med_um,vs_reference_p95_um
exact scheme q=8,-,-,-,0.05-2 mm,20-200 GeV,backward,23,0.6499925000007352,0.07111313806262842,0.09798191267407218,8.526512829121202e-11,2.2168933355715118e-10
exact scheme q=8,-,-,-,2-20 mm,all,all,382,6.3070000000006985,0.5732100881346014,6.002440037032386,2.984279490192421e-10,1.3589929181989575e-07
exact scheme q=8,-,-,-,2-20 mm,all,forward,191,6.3070000000006985,0.6471071981489773,5.96150392109962,2.842170943040401e-10,2.1714896547564422e-07
exact scheme q=8,-,-,-,2-20 mm,all,backward,191,6.3070000000006985,0.5034127568208646,6.42718649740992,2.984279490192421e-10,2.9451996397256153e-08
exact scheme q=8,-,-,-,2-20 mm,1-5 GeV,all,160,6.3070000000006985,1.7905686055712522,10.054238747648004,7.531752999057062e-10,5.390191404330825e-07
exact scheme q=8,-,-,-,2-20 mm,1-5 GeV,forward,80,6.3070000000006985,1.7348772275695978,9.72903786733923,7.531752999057062e-10,5.390191404330833e-07
exact scheme q=8,-,-,-,2-20 mm,1-5 GeV,backward,80,6.3070000000006985,1.8873116010524882,11.019212934814956,7.673861546209082e-10,1.1756751128188842e-07
exact scheme q=8,-,-,-,2-20 mm,5-20 GeV,all,156,6.3070000000006985,0.49520044675821495,1.7174352502209445,2.4158453015843406e-10,1.545616967746355e-07
exact scheme q=8,-,-,-,2-20 mm,5-20 GeV,forward,78,6.3070000000006985,0.5634906753613222,1.7076189425594626,2.4158453015843406e-10,2.0299282255109564e-07
exact scheme q=8,-,-,-,2-20 mm,5-20 GeV,backward,78,6.3070000000006985,0.45550057219045925,1.6034872244482277,2.4158453015843406e-10,2.1585577769656074e-08
exact scheme q=8,-,-,-,2-20 mm,20-200 GeV,all,66,6.3070000000006985,0.15184522313838045,0.37758583327071604,1.2789769243681803e-10,2.8066438062523957e-10
exact scheme q=8,-,-,-,2-20 mm,20-200 GeV,forward,33,6.3070000000006985,0.13677277195967008,0.3407400637222224,1.2789769243681803e-10,2.6147972675971687e-10
exact scheme q=8,-,-,-,2-20 mm,20-200 GeV,backward,33,6.3070000000006985,0.15232244579266307,0.4123623768798267,1.2079226507921703e-10,2.899014361901209e-10
exact scheme q=8,-,-,-,20-200 mm,all,all,6000,69.804950499999,7.463210843567936,59.35325002084184,1.775970304151997e-05,0.0005766480370539284
exact scheme q=8,-,-,-,20-200 mm,all,forward,3011,69.80459999999948,8.978494458347086,67.18173561932872,2.4764290174061898e-05,0.0006974645430091186
exact scheme q=8,-,-,-,20-200 mm,all,backward,2989,69.80529999999999,6.155144595481943,47.93289949889182,1.4148156424198532e-05,0.00045919466629129585
exact scheme q=8,-,-,-,20-200 mm,1-5 GeV,all,3042,69.80709999999999,17.394425349323228,80.84040684140052,4.1378516613121974e-05,0.0009361234852178745
exact scheme q=8,-,-,-,20-200 mm,1-5 GeV,forward,1532,69.80653799999982,21.225410953036317,91.30813773469842,5.5224212758275826e-05,0.0011451960375552523
exact scheme q=8,-,-,-,20-200 mm,1-5 GeV,backward,1510,69.80770074999964,14.225204856529672,63.42032501658463,3.337663656566292e-05,0.0007123849435686224
exact scheme q=8,-,-,-,20-200 mm,5-20 GeV,all,2309,69.80490049999935,4.656629223063646,17.39385664879123,1.186589315693709e-05,0.00020584991489158694
exact scheme q=8,-,-,-,20-200 mm,5-20 GeV,forward,1156,69.80415000000085,5.349356457955423,18.876938449899683,2.0870416506113543e-05,0.0002622296833010296
exact scheme q=8,-,-,-,20-200 mm,5-20 GeV,backward,1153,69.80549999999857,3.9095688218537816,14.333215008158351,8.150777830451261e-06,0.0001649303328576934
