arm,network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
residual,residual_w50_physics_s2,physics,2,50,4,True,val,0,4551,1.0836284302806476,1291.08619171393,0.04609410862182681,55.0
residual,residual_w50_physics_s2,physics,2,50,4,True,val,1,4551,75.7066337857708,3880.6493095342066,0.20953328994993692,373.71799999999996
residual,residual_w50_physics_s2,physics,2,50,4,True,val,2,4551,293.314797232199,8852.48716223225,0.3439803171002842,821.8929999999991
residual,residual_w50_physics_s2,physics,2,50,4,True,val,3,4551,596.5260966170547,13114.953859514371,0.6039063266078679,2099.987
residual,residual_w50_physics_s2,physics,2,50,4,True,val,4,2932,1999.5927832266602,26772.60952862005,0.9795962878607761,6281.1775
residual,residual_w50_physics_s2,physics,2,50,4,True,val,5,1524,3967.5732796249295,40339.8509065744,1.6041588678120944,7759.312
residual,residual_w50_physics_s2,physics,2,50,4,True,val,6,856,4911.544751282946,41106.043477860396,1.7008549415882812,8181.928
residual,residual_w50_physics_s2,physics,2,50,4,True,test,0,4563,1.0950668341616066,1247.8426594698512,0.04368157275619344,69.21399999999994
residual,residual_w50_physics_s2,physics,2,50,4,True,test,1,4563,64.62579085878417,3455.4779777899635,0.20147844780405572,335.087
residual,residual_w50_physics_s2,physics,2,50,4,True,test,2,4563,269.73251204685766,8170.504902024777,0.3378516647006835,752.393
residual,residual_w50_physics_s2,physics,2,50,4,True,test,3,4563,562.1185366464374,12135.826926476893,0.5574096691696173,1994.9869999999999
residual,residual_w50_physics_s2,physics,2,50,4,True,test,4,2914,1922.3296567499303,23027.04641405817,0.9548842801522968,6269.4015
residual,residual_w50_physics_s2,physics,2,50,4,True,test,5,1481,3958.2083868398568,48053.50592756213,1.5454736750633926,7783.540000000001
residual,residual_w50_physics_s2,physics,2,50,4,True,test,6,853,4840.271310017044,34526.51103779144,1.7115406652953649,8330.801
residual,residual_w50_physics_s3,physics,3,50,4,True,val,0,4551,1.050812284573155,2144.443781207774,0.0446925744830573,55.0
residual,residual_w50_physics_s3,physics,3,50,4,True,val,1,4551,69.57293341355353,4707.481160631885,0.2697645445002145,373.71799999999996
residual,residual_w50_physics_s3,physics,3,50,4,True,val,2,4551,314.2735927390845,11217.816783852897,0.45087669262831864,821.8929999999991
residual,residual_w50_physics_s3,physics,3,50,4,True,val,3,4551,673.6803433683889,15322.521419359986,0.710776177127323,2099.987
residual,residual_w50_physics_s3,physics,3,50,4,True,val,4,2932,2286.39451907668,33637.61788306029,1.0540056432782885,6281.1775
residual,residual_w50_physics_s3,physics,3,50,4,True,val,5,1524,4381.331633960983,51985.7117205173,1.5184396886952778,7759.312
residual,residual_w50_physics_s3,physics,3,50,4,True,val,6,856,5024.467875051414,51601.44768350369,1.6324301945079416,8181.928
residual,residual_w50_physics_s3,physics,3,50,4,True,test,0,4563,1.0499861223252083,1975.6492343251214,0.04301492030164833,69.21399999999994
residual,residual_w50_physics_s3,physics,3,50,4,True,test,1,4563,65.51244719821625,4236.545890015913,0.267104642301369,335.087
residual,residual_w50_physics_s3,physics,3,50,4,True,test,2,4563,275.911434952576,10585.359450945747,0.4514717943314775,752.393
residual,residual_w50_physics_s3,physics,3,50,4,True,test,3,4563,601.756277850896,15529.549231904502,0.6971099572863557,1994.9869999999999
residual,residual_w50_physics_s3,physics,3,50,4,True,test,4,2914,2236.550961207826,26749.86285299416,1.0262794372228878,6269.4015
residual,residual_w50_physics_s3,physics,3,50,4,True,test,5,1481,4495.660148549405,45376.05074695239,1.3769766614760703,7783.540000000001
residual,residual_w50_physics_s3,physics,3,50,4,True,test,6,853,5118.462801795886,33377.178631319555,1.486308931443088,8330.801
residual,residual_w50_physics_s4,physics,4,50,4,True,val,0,4551,1.006938615557118,1199.9679997579804,0.04170218147211968,55.0
residual,residual_w50_physics_s4,physics,4,50,4,True,val,1,4551,54.61400693758378,3157.472135302953,0.1821736021220266,373.71799999999996
residual,residual_w50_physics_s4,physics,4,50,4,True,val,2,4551,248.30807755131445,8637.98345249009,0.3167233729612501,821.8929999999991
residual,residual_w50_physics_s4,physics,4,50,4,True,val,3,4551,550.6003934027142,11808.94004287552,0.5332238961375524,2099.987
residual,residual_w50_physics_s4,physics,4,50,4,True,val,4,2932,1580.283375507861,29413.194272567882,0.9347601238531593,6281.1775
residual,residual_w50_physics_s4,physics,4,50,4,True,val,5,1524,2922.7077037276244,43982.68048156458,2.0341510999572625,7759.312
residual,residual_w50_physics_s4,physics,4,50,4,True,val,6,856,3577.8583638928294,43570.85696391561,2.4238290924579533,8181.928
residual,residual_w50_physics_s4,physics,4,50,4,True,test,0,4563,1.01290779089247,1167.3508130338737,0.04249942659140943,69.21399999999994
residual,residual_w50_physics_s4,physics,4,50,4,True,test,1,4563,55.31518374927913,3104.8299334445287,0.18188935363669737,335.087
residual,residual_w50_physics_s4,physics,4,50,4,True,test,2,4563,246.9000156780794,8100.636007864555,0.3174285162341195,752.393
