arm,tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
residual,residual_w50_physics_s5,physics,5,50,4,B,1,0.10166676129318664,False,97.34330573293448,742.7603035052368,564
residual,residual_w50_physics_s5,physics,5,50,4,B,2,0.2372337950418355,False,333.1386324819654,2268.7512828298322,564
residual,residual_w50_physics_s5,physics,5,50,4,B,3,0.4082826787521751,False,626.8663181822518,6146.912384600669,564
residual,residual_w50_physics_s5,physics,5,50,4,B,4,0.5917173212478248,False,891.339909067284,11022.71501813296,564
residual,residual_w50_physics_s5,physics,5,50,4,B,5,0.7627662049581645,False,1097.0687358872908,14268.99344204834,564
residual,residual_w50_physics_s5,physics,5,50,4,B,6,0.8983332387068134,False,1172.744973873023,21503.62060365835,564
residual,residual_w50_physics_s5,physics,5,50,4,B,7,0.9801449282487681,False,1234.9155656167668,31045.578438412682,564
residual,residual_w50_physics_s5,physics,5,50,4,B,8,1.0,True,1262.5729189070398,32968.251171372176,564
residual,residual_w50_physics_s5,physics,5,50,4,C,0,0.019855071751231912,False,0.01117864783850564,1.9705452098548915,2793
residual,residual_w50_physics_s5,physics,5,50,4,C,1,0.10166676129318664,False,0.04271475017958437,14.400815876774729,2793
residual,residual_w50_physics_s5,physics,5,50,4,C,2,0.2372337950418355,False,0.21098653440976278,52.625257878838816,2793
residual,residual_w50_physics_s5,physics,5,50,4,C,3,0.4082826787521751,False,0.6138740118331043,125.1130911660974,2793
residual,residual_w50_physics_s5,physics,5,50,4,C,4,0.5917173212478248,False,1.0053284213142888,197.49176771692893,2793
residual,residual_w50_physics_s5,physics,5,50,4,C,5,0.7627662049581645,False,1.1988605750916648,232.37219514387564,2793
residual,residual_w50_physics_s5,physics,5,50,4,C,6,0.8983332387068134,False,1.3155443894277141,275.92782492146927,2793
residual,residual_w50_physics_s5,physics,5,50,4,C,7,0.9801449282487681,False,1.3361888680130107,287.4725851547057,2793
residual,residual_w50_physics_s5,physics,5,50,4,C,8,1.0,True,1.357036375793541,298.8626015989445,2793
residual,residual_w50_physics_s6,physics,6,50,4,A,0,0.019855071751231912,False,0.01959563711850798,352.391411585737,604
residual,residual_w50_physics_s6,physics,6,50,4,A,1,0.10166676129318664,False,0.09118136151209377,681.0284542934214,604
residual,residual_w50_physics_s6,physics,6,50,4,A,2,0.2372337950418355,False,0.4607163723280294,2378.6831917074433,604
