N,q,checkpoint,p_lo,p_hi,component,unit,n,med_abs,rms,std,mean,signed_med,hw68,p95_abs,rms_no_tail,dz_mm,kind,n_tail,tail_frac,x0_med_tail_mm,x0_med_rest_mm
256,16,0,4,6,y,um,286,100.01101594694461,428.3660295007599,428.2409641986863,10.35044986584586,-10.17512814465249,171.01205582214334,718.1630463760769,201.01740563424636,20.2,"endpoint (after N steps, at z1)",16,0.055944055944055944,249.6329839604636,114.3874807316364
256,16,0,4,6,tx,mrad,286,0.08517059732723875,0.3013649135689636,0.30102084702974063,0.014396554585261588,0.02002600594640247,0.15631875858808097,0.554648226689769,0.17135297902676072,20.2,"endpoint (after N steps, at z1)",16,0.055944055944055944,249.6329839604636,114.3874807316364
256,16,0,4,6,ty,mrad,286,0.0673537889880789,0.2570724122251797,0.25681944764622067,0.011401598044258198,-0.01317885734820716,0.11274809650621291,0.6013901598244699,0.1748504659368143,20.2,"endpoint (after N steps, at z1)",16,0.055944055944055944,249.6329839604636,114.3874807316364
256,16,0,5,7,x,um,233,54.47376486040412,472.2740425866597,472.147709641145,-10.922984105411466,-7.838299268655646,99.93091658663502,427.6648937362082,135.95625499664146,20.2,"endpoint (after N steps, at z1)",11,0.04721030042918455,232.1466832111567,90.75383393934368
256,16,0,5,7,y,um,233,67.86330299934207,297.49130016445724,295.32010507010784,35.8763043654122,-8.42784618474468,120.17993903000105,447.1277986760014,135.37503302977393,20.2,"endpoint (after N steps, at z1)",11,0.04721030042918455,232.1466832111567,90.75383393934368
256,16,0,5,7,tx,mrad,233,0.049458392959139674,0.2285303410811381,0.22849753553602725,0.0038720858233373063,0.01248481442586713,0.08841606582957795,0.47794199922021197,0.14092295071334843,20.2,"endpoint (after N steps, at z1)",11,0.04721030042918455,232.1466832111567,90.75383393934368
256,16,0,5,7,ty,mrad,233,0.03712107779367535,0.2550042598324213,0.25333716750376795,0.029111030449794552,-0.011091676246258175,0.07024964443984924,0.3407400751701534,0.12474378091304694,20.2,"endpoint (after N steps, at z1)",11,0.04721030042918455,232.1466832111567,90.75383393934368
256,16,0,5,8,x,um,314,47.98949136674224,409.9593997078817,409.85348904035635,-9.318096924436151,-4.639639964636899,79.41138332823813,389.7939820879244,127.2643355960178,20.2,"endpoint (after N steps, at z1)",11,0.03503184713375796,232.1466832111567,86.7452508526506
256,16,0,5,8,y,um,314,63.06794109835323,264.2207229321525,263.07200922807243,24.61114356331812,-8.12856335373624,109.24662245666356,359.29600246261595,133.11282011257197,20.2,"endpoint (after N steps, at z1)",11,0.03503184713375796,232.1466832111567,86.7452508526506
256,16,0,5,8,tx,mrad,314,0.03947883804727992,0.19956370914937865,0.19952276545851746,0.004042285645922742,0.009792314322208673,0.06962193922522619,0.38955287969603636,0.12514461799528995,20.2,"endpoint (after N steps, at z1)",11,0.03503184713375796,232.1466832111567,86.7452508526506
