N,q,component,unit,p_lo,p_hi,n,med,p95,signed_mean
64,4,ty,mrad,3.0,5.0,341,0.03884447639407318,0.32005949286381674,0.02707196992032896
64,4,ty,mrad,5.0,7.0,233,0.021953779861631773,0.1825903365138598,-0.022586748586329246
64,4,ty,mrad,7.0,10.0,197,0.013913305999341263,0.11225644756634733,0.0038854500298428963
64,4,ty,mrad,10.0,15.0,208,0.011304496376816561,0.07542717540379708,0.03203582344839497
64,4,ty,mrad,15.0,20.0,109,0.008119044943001585,0.06373505133203047,-0.0018620821907402258
64,4,ty,mrad,20.0,30.0,115,0.009446260453592481,0.04378854928607858,3.589980192865133e-06
64,4,ty,mrad,30.0,50.0,55,0.011022088111529646,0.029053141648865608,-0.006394757377366242
64,4,ty,mrad,50.0,100.0,24,0.009268416542595331,0.027743819017028715,-0.01017899605503373
64,4,ty,mrad,100.0,200.0,6,0.007488839573195627,0.018123209629792355,-0.008444115882087015
64,8,x,µm,1.0,2.0,5,1242.7607635127629,1856.17673680822,148.50612519776405
64,8,x,µm,2.0,3.0,159,301.95231544769285,2022.5244326730024,84.42298670064
64,8,x,µm,3.0,5.0,341,198.38420777443844,1031.619945825028,49.881312727366534
64,8,x,µm,5.0,7.0,233,211.11240726582992,1007.9156727994294,5.367994086276808
64,8,x,µm,7.0,10.0,197,147.42286137050087,554.773956356416,-20.044584390485085
64,8,x,µm,10.0,15.0,208,100.78349711589851,370.5133749172975,-19.105160084169036
64,8,x,µm,15.0,20.0,109,84.7082556570058,328.26247210958843,36.90471511773521
64,8,x,µm,20.0,30.0,115,112.91305421315201,561.8565443814474,-31.6426601764618
64,8,x,µm,30.0,50.0,55,245.5251847037232,520.642414824806,-69.70949759739784
64,8,x,µm,50.0,100.0,24,282.77927682088233,679.8410567901441,218.74312144165782
64,8,x,µm,100.0,200.0,6,280.1489156352512,1006.663929070676,237.69358881553146
64,8,y,µm,1.0,2.0,5,521.6859701117755,1045.1517876761727,-211.94697409574417
64,8,y,µm,2.0,3.0,159,229.27068169277476,1266.178027063562,320.93468098236843
64,8,y,µm,3.0,5.0,341,133.94918955467006,879.5617476638427,-13.87638634839431
64,8,y,µm,5.0,7.0,233,90.91065899815476,745.4882685439768,67.4851145236301
64,8,y,µm,7.0,10.0,197,53.617464233497,391.22642975697755,-2.6239609517468008
64,8,y,µm,10.0,15.0,208,36.382607565855096,182.705088359779,-13.24544319616173
64,8,y,µm,15.0,20.0,109,31.842554572818926,207.555505362734,15.184585431376934
64,8,y,µm,20.0,30.0,115,28.722749644316536,108.4957439244732,24.35980140945803
64,8,y,µm,30.0,50.0,55,18.49596246341889,54.96091334490102,1.2007772762885014
64,8,y,µm,50.0,100.0,24,10.660276250646916,55.97804400379969,0.1280663044039565
64,8,y,µm,100.0,200.0,6,14.500257336301559,23.419565602438297,2.616304248564442
64,8,tx,mrad,1.0,2.0,5,0.5627965588839157,0.7134625905607983,-0.08792500169891859
64,8,tx,mrad,2.0,3.0,159,0.10612165203055524,0.6049408354806551,0.04919929288026191
64,8,tx,mrad,3.0,5.0,341,0.06406728553276508,0.3011899532959217,0.018422203338742508
64,8,tx,mrad,5.0,7.0,233,0.061869361413974255,0.4705640539677411,-0.0031063070889227723
64,8,tx,mrad,7.0,10.0,197,0.041653149508449894,0.19310580120402984,-0.0009258367252766739
64,8,tx,mrad,10.0,15.0,208,0.035853837007514266,0.14292209354818575,0.010272315934404296
64,8,tx,mrad,15.0,20.0,109,0.03529713227756748,0.15794604990102265,0.030983420543431138
64,8,tx,mrad,20.0,30.0,115,0.024645271937406843,0.19803739740611387,0.007538968482571029
64,8,tx,mrad,30.0,50.0,55,0.07925630356776445,0.18664695488321686,-0.016558402950158143
64,8,tx,mrad,50.0,100.0,24,0.14455916259668639,0.3352446872307008,0.1076828936589252
64,8,tx,mrad,100.0,200.0,6,0.14275128435838058,0.3660028926397922,0.10800736899172125
64,8,ty,mrad,1.0,2.0,5,0.2429644043352719,0.6528182908728085,-0.18769365021350445
64,8,ty,mrad,2.0,3.0,159,0.0940670239843247,0.5164018049910497,0.10597667168608776
64,8,ty,mrad,3.0,5.0,341,0.043928909416811324,0.3689138456244301,-0.019711929355130303
64,8,ty,mrad,5.0,7.0,233,0.028124104967351682,0.31211672474615443,0.019654906661643153
64,8,ty,mrad,7.0,10.0,197,0.018409066919741063,0.138097428179181,-0.009186607640939707
64,8,ty,mrad,10.0,15.0,208,0.011324646176392832,0.07052705577061667,-0.01637412751470745
64,8,ty,mrad,15.0,20.0,109,0.007177371257605092,0.0763038386664444,0.0026414912868338546
64,8,ty,mrad,20.0,30.0,115,0.008420697676495004,0.03589702693502851,0.004338828027783481
64,8,ty,mrad,30.0,50.0,55,0.006695719808109957,0.0180444846140717,-0.00022246073213517747
64,8,ty,mrad,50.0,100.0,24,0.0057787525590616284,0.01890576890139337,0.001380254881107666
64,8,ty,mrad,100.0,200.0,6,0.0024866396463318896,0.006446359065455116,0.0014160714741001089
64,16,x,µm,1.0,2.0,5,577.2565853408196,2491.990790284421,848.9047293106552
64,16,x,µm,2.0,3.0,159,379.1464090156751,2353.260791215143,0.6196691168530393
64,16,x,µm,3.0,5.0,341,178.14601572803923,1285.0552463455074,32.45517278351231
64,16,x,µm,5.0,7.0,233,111.96264828924996,1391.9903120317026,58.67805479197175
64,16,x,µm,7.0,10.0,197,78.95704854041696,509.9884280111382,40.999118657016034
64,16,x,µm,10.0,15.0,208,95.59725376800543,300.90340704406447,-17.19304064169783
64,16,x,µm,15.0,20.0,109,125.90244932400196,408.72882766262813,-87.46332555436297
64,16,x,µm,20.0,30.0,115,170.87122664770504,536.2544098021491,-27.05434131394342
64,16,x,µm,30.0,50.0,55,140.4098395526887,647.7386006925087,-41.72450655879182
64,16,x,µm,50.0,100.0,24,155.91831059523997,766.0246329625604,11.507031100821408
64,16,x,µm,100.0,200.0,6,694.0614718718975,2896.8467705991725,1160.7713972179995
64,16,y,µm,1.0,2.0,5,470.2273298886439,3097.8099814068396,586.0646437190496
64,16,y,µm,2.0,3.0,159,276.2004543323542,1037.7933182443824,199.90075278302606
64,16,y,µm,3.0,5.0,341,165.88899049685324,919.636698764748,98.88991442971306
64,16,y,µm,5.0,7.0,233,101.9807004133213,580.6333149113016,87.71533297417005
64,16,y,µm,7.0,10.0,197,72.48798086576613,320.63993554487524,3.8031724292413247
64,16,y,µm,10.0,15.0,208,47.69388048650569,201.61977549277572,8.596122327580812
64,16,y,µm,15.0,20.0,109,35.261767682527534,187.7202706803698,-5.104342601252957
64,16,y,µm,20.0,30.0,115,46.584565819628665,124.03425562910684,15.859688741967176
64,16,y,µm,30.0,50.0,55,19.000751654687065,72.3273857056938,19.404293606373088
64,16,y,µm,50.0,100.0,24,12.787781457163305,47.573735189081994,6.558378628905857
64,16,y,µm,100.0,200.0,6,22.300056186715267,49.5606262324948,5.044565528867413
64,16,tx,mrad,1.0,2.0,5,0.26998138846567876,0.5928067669625725,0.24273637024835315
64,16,tx,mrad,2.0,3.0,159,0.13613632766940054,0.735170259235085,-0.002693839763530355
64,16,tx,mrad,3.0,5.0,341,0.06263444528409323,0.44627463626961683,0.00808471322101197
64,16,tx,mrad,5.0,7.0,233,0.03719397725099327,0.36535831127208873,0.01810693823453143
64,16,tx,mrad,7.0,10.0,197,0.021620320879767174,0.1753165255438315,0.0031891969093447905
